Karlskrona|35212|15.2960046109|56.2030021859
Alba Lulia|66085|23.5800005868|46.0770031313
Bistrita|81318|24.5130035803|47.1380040946
Deva|67802|22.9166735704|45.8833230424
Zalau|63232|23.0630044819|47.1750030966
Satu Mare|112490|22.8850024803|47.7919981635
Rimnicu Vilcea|107558|24.3829986247|45.1099980449
Sfintu-Gheorghe|60677|25.793001481|45.8679961114
Miercurea Cuic|42029|25.5240005117|46.3609980786
Piatra-Neamt|102688|26.3829965651|46.9400040547
Braila|213569|27.9690035388|45.2919961459
Vaslui|69225|27.7333385907|46.6333290756
Salyan|15000|82.1833025536|28.3500000369
Mae Hong Son|9109|97.9689966529|19.30100405
Phangnga|9676|98.5339985744|8.4510000858
Ranong|24561|98.6380025719|9.96200109451
Krabi|31219|98.9119986655|8.05200309702
Phatthalung|43522|100.08099956|7.61499897978
Satun|34544|100.066698628|6.61670109886
Lamphun|14030|99.0739985627|18.5030011363
Kamphaeng Phet|58787|99.5290026685|16.4729970369
Phichit|35760|100.34900167|16.4390040456
Phetchabun|50656|101.159001653|16.4189970712
Supham Buri|53399|100.128996606|14.4710010468
Ang Thong|13738|100.449999657|14.583303057
Chainat|15469|100.125999697|15.1790040176
Nakhon Nayok|21309|101.215998693|14.2000020278
Sing Buri|20046|100.401003586|14.8869989993
Nakhon Pathom|117927|100.063998597|13.8179970666
Prachuap Khiri Khan|33521|99.8000016876|11.8029960468
Samut Sakhon|63498|100.274004641|13.5360000036
Samut Songkhram|35065|100.000998636|13.4129969926
Yasothon|21643|104.150997677|15.7879981151
Chachoengsao|49741|101.076003654|13.6790010529
Trat|21590|102.509001624|12.2370030894
Kalasin|55102|103.509000677|16.4279970655
Maha Sarakham|51584|103.298004543|16.1839980293
Roi Et|39328|103.654998635|16.0509959992
Pattani|150000|101.25000062|6.86400302337
Piggs Peak|5750|31.2470014957|-25.9610039877
Siteki|6152|31.9519986213|-26.4549960436
Manzini|110537|31.3880044953|-26.4950010563
Hlatikulu|2748|31.4166965486|-26.9999999269
Somoto|20316|-86.5829965925|13.4759971182
Ocotal|33928|-86.4729986113|13.6299960459
Aveiro|54162|-8.65099753409|40.6410031052
Leiria|45112|-8.80499646187|39.7389960285
Viana Do Castelo|15555|-8.84413748436|41.6962351427
Merida|52423|-6.33799751231|38.9120040184
Beja|35854|-7.86300241019|38.0140021427
Evora|55620|-7.9059955613|38.5599961147
Portalegre|15581|-7.42300154937|39.2900041095
Santarem|29385|-8.68200255248|39.2310000834
Braganca|34375|-6.75500342578|41.8079970142
